Reference;Titre;Auteur;Editeur;Code Classement;Genre;XSignet;Prete a;CodeLecteur;Prete le;Rendu le;Annee d'edition;Date d'achat;Origine;Type de document;Cote;Prix;Lieu;NbPage;Contenant;Collection;Photo1;Son1;Frequence;Duree;Format;Annee origine;ISBN;ISSN;Etat;NbEx;Appreciation;Codebarre;AdrInternet;Valeur;Pays Ville;Tomaison;Commentaires;Resume;NbPret;Debut abonnement;Dernier abonnement;Prochain abonnement;Periodicite;Nbr abonnement;Langue;Systeme;Version;Son;Pellicule;Info;NumNotice;DateImportNotice;DateRetourNotice;NomFichierNotice;NomOrigineNotice;Alpha1;Alpha2;Alpha3;Num1;Num2;Date1;Public
10355;Les coustumes des ville et chastellenie de BAILLEUL;*;*;002;4;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;10355;;;;;;;;;;;;;;;;;;;;;;;;Bailleul;;;;;;Tous publics
10528;Le livre des familles, généalogies Nord-Pas-de-Calais (1976);*;*;002;5;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;10356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
10529;L'annuaire des familles, généalogies Nord-Pas-de-Calais (1987);*;*;002;5;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;10357;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
20086;COMINES-WARNETON et la région - Mémoires de la société d'histoire (année 2016);*;Société d'Histoire de Comines-Warneton;002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;20086;;;;;;;;;;;;;;;;;;;;;;;;Comines-Warneton;;;;;;Tous publics
20087;Revue historique de Dunkerque et du littoral (année 2016);*;Société dunkerquoise d'histoire et d'archéologie;002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;20087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
52915;Répertoire des bâteliers du Nord de la France et de la Belgique (n° 10);*;URAG (Union Régionale des Associations Généalogiques);002;3;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;52915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
54370;LES MOËRES (D) – Naissances 1845 à 1852;*;*;002;1;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;54370;;;;;;;;;;;;;;;;;;;;;;;;Les Moëres;;;;;;Tous publics
54373;GHYVELDE (D) – BMS 1757;*;*;002;1;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;54373;;;;;;;;;;;;;;;;;;;;;;;;Ghyvelde;;;;;;Tous publics
55904;STEENWERCK (T) - Naissances 1755 à 1775 (M à W);*;*;002;1;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55904;;;;;;;;;;;;;;;;;;;;;;;;Steenwerck;;;;;;Tous publics
55956;HARDIFORT (D) – BMS 1694 à 1736;*;*;002;1;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55956;;;;;;;;;;;;;;;;;;;;;;;;Hardifort;;;;;;Tous publics
55957;VIEUX-BERQUIN (TA) – Baptêmes 1750 à 1766;*;*;002;1;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55957;;;;;;;;;;;;;;;;;;;;;;;;Vieux-Berquin;;;;;;Tous publics
55963;VEURNE - Huwelijken stad 1796 tot 1912;MOONS Willy;*;002;1;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55963;;;;;;;;;;;;;;;;;;;;;;;;Veurne;;;;;;Tous publics
55964;BAILLEUL – Cahier d'histoire (n° 13);*;Cercle d'histoire et d'archéologie de Bailleul;002;4;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55964;;;;;;;;;;;;;;;;;;;;;;;;Bailleul;;;;;;Tous publics
55965;COUPELLE-NEUVE, COUPELLE-VIEILLE, FRUGES, SENLIS – Statistique féodale du Haut-Pays;CHAMPAGNE Michel;GGRN (Groupement Généalogique de la Région Nord);002;2;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55965;;;;;;;;;;;;;;;;;;;;;;;;Coupelle-Neuve, Coupelle-Vieille, Fruges, Senlis;;;;;;Tous publics
55966;SAINT-OMER St Sépulcre (T) – Baptêmes 1600 à 1650;DURIEU Philippe;GGRN (Groupement Généalogique de la Région Nord);002;1;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55966;;;;;;;;;;;;;;;;;;;;;;;;Saint-Omer;;;;;;Tous publics
